Date,Phase,muscle_group,Exercise,Weight (lbs),Set Number,Reps,Bodyweight,Notes:
2025-01-09,Bulk,Legs,Hack Squats,270,1,12,NA,do not account for machine weight
2025-01-09,Bulk,Legs,Hack Squats,270,2,10,NA,do not account for machine weight
2025-01-09,Bulk,Legs,Hack Squats,270,3,8,NA,do not account for machine weight
2025-01-09,Bulk,Legs,Seated Leg Curls,160,1,10,NA,
2025-01-09,Bulk,Legs,Seated Leg Curls,160,2,10,NA,
2025-01-09,Bulk,Legs,Seated Leg Curls,160,3,8,NA,
2025-01-09,Bulk,Legs ,Leg Extensions,180,1,10,NA,
2025-01-09,Bulk,Legs ,Leg Extensions,180,2,10,NA,
2025-01-09,Bulk,Legs,Standing Calf Raises,220,1,12,NA,
2025-01-09,Bulk,Legs,Standing Calf Raises,220,2,10,NA,
2025-01-09,Bulk,Legs,Standing Calf Raises,220,3,12,NA,
2025-01-10,Bulk,Push,Bench Press,205,1,8,NA,misgrooved twice
2025-01-10,Bulk,Push,Bench Press,205,2,4,NA,misgrooved twice
2025-01-10,Bulk,Push,Bench Press,205,3,3,NA,
2025-01-10,Bulk,Push,Weighted Dips,45,1,8,NA,
2025-01-10,Bulk,Push,Weighted Dips,45,2,8,NA,
2025-01-10,Bulk,Push,Weighted Dips,45,3,8,NA,
2025-01-10,Bulk,Pull,Barbell Rows,225,1,8,NA,
2025-01-10,Bulk,Pull,Barbell Rows,205,2,7.5,NA,
2025-01-10,Bulk,Pull,Barbell Rows,205,3,7.5,NA,
2025-01-10,Bulk,Pull,Isolated Seated Machine Rows,80,1,10,NA,
2025-01-10,Bulk,Pull,Isolated Seated Machine Rows,90,2,8,NA,
2025-01-12,Bulk,Pull,Barbell Rows,225,1,6,NA,
2025-01-12,Bulk,Pull,Barbell Rows,205,2,8,NA,
2025-01-12,Bulk,Pull,Pullups,0,1,12,NA,bodyweight is NA
2025-01-12,Bulk,Pull,Pullups,0,2,9,NA,bodyweight is NA
2025-01-12,Bulk,Pull,Pullups,0,3,7,NA,bodyweight is NA
2025-01-12,Bulk,Pull,Rope Rear Delts,80,1,NA,NA,didn’t track reps went to failure
2025-01-12,Bulk,Pull,Rope Rear Delts,80,2,NA,NA,didn’t track reps went to failure
2025-01-12,Bulk,Pull,Rope Rear Delts,80,3,NA,NA,didn’t track reps went to failure
2025-01-12,Bulk,Push,Rope Pushdown Tricep,90,1,8,NA,
2025-01-12,Bulk,Push,Rope Pushdown Tricep,90,2,7,NA,
2025-01-12,Bulk,Push,Rope Pushdown Tricep,90,3,7,NA,
2025-01-13,Bulk,Push,Smith Machine Incline Press,160,1,8,NA,do not account for machine weight
2025-01-13,Bulk,Push,Smith Machine Incline Press,160,2,7,NA,do not account for machine weight
2025-01-13,Bulk,Push,Smith Machine Incline Press,160,3,6,NA,do not account for machine weight
2025-01-13,Bulk,Push,Weighted Dips,55,1,8,NA,
2025-01-13,Bulk,Push,Weighted Dips,70,2,8,NA,
2025-01-13,Bulk,Push,Weighted Dips,70,3,8,NA,
2025-01-13,Bulk,Pull,Standing Dumbell Curls,35,1,8,NA,
2025-01-13,Bulk,Pull,Standing Dumbell Curls,40,2,8,NA,
2025-01-13,Bulk,Pull,Standing Dumbell Curls,40,3,7,NA,
2025-01-13,Bulk,Pull,Standing Dumbell Hammer Curls,45,1,18,NA,Alternating
2025-01-13,Bulk,Pull,Standing Dumbell Hammer Curls,45,2,18,NA,Alternating
2025-01-13,Bulk,Pull,Standing Dumbell Hammer Curls,45,3,18,NA,Alternating
2025-01-13,Bulk,Push,Cable Lateral Raise,35,1,8,NA,
2025-01-13,Bulk,Push,Cable Lateral Raise,35,2,8,NA,
2025-01-13,Bulk,Push,Cable Lateral Raise,35,3,8,NA,
2025-01-15,Bulk,Legs,Hack Squats,270,1,15,NA,
2025-01-15,Bulk,Legs,Hack Squats,270,2,12,NA,
2025-01-15,Bulk,Legs,Hack Squats,270,3,10,NA,
2025-01-15,Bulk,Legs,Lying Leg Curls,110,1,10,NA,
2025-01-15,Bulk,Legs,Lying Leg Curls,110,2,6,NA,
2025-01-15,Bulk,Legs,Lying Leg Curls,100,3,10,NA,
